timestamp,frame_number,camera_center_x,camera_center_y,target_detected,target_class,target_confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,target_center_x,target_center_y,smoothed_target_x,smoothed_target_y,pixel_error_x,pixel_error_y,distance_error,current_pan,current_tilt,target_pan,target_tilt,servo_command_pan,servo_command_tilt,processing_time_ms,tracking_enabled
1757786557.5900676,78,320,240,True,person,0.8602355718612671,296,130,391,425,344,278,336,268,16,28,32.2490309931942,6.9,-1.68,0.0,0.0,0.0,0.0,5.297422409057617,True
1757786557.6969488,79,320,240,True,person,0.8794062733650208,298,127,390,426,344,276,336,270,16,30,34.0,6.9,-1.68,0.0,0.0,0.0,0.0,7.195234298706055,True
1757786557.7109697,80,320,240,True,person,0.8684682846069336,299,129,390,425,344,277,337,272,17,32,36.235341863986875,6.9,-1.68,0.0,0.0,0.0,0.0,7.24029541015625,True
1757786557.7230978,81,320,240,True,person,0.8566910028457642,301,128,391,425,346,277,338,274,18,34,38.47076812334269,6.9,-1.68,0.0,0.0,0.0,0.0,5.795717239379883,True
1757786557.7352445,82,320,240,True,person,0.8839274048805237,296,126,390,426,343,276,340,275,20,35,40.311288741492746,6.9,-1.68,0.0,0.0,0.0,0.0,5.505084991455078,True
1757786557.7622447,83,320,240,True,person,0.8965139985084534,294,126,389,426,341,276,340,275,20,35,40.311288741492746,6.9,-1.68,0.0,0.0,0.0,0.0,5.315065383911133,True
1757786557.8333242,84,320,240,True,person,0.9005569815635681,289,125,386,426,337,276,341,276,21,36,41.677331968349414,6.9,-1.68,0.0,0.0,0.0,0.0,7.341861724853516,True
1757786557.8454013,85,320,240,True,person,0.9009389877319336,291,125,388,426,339,276,341,276,21,36,41.677331968349414,6.9,-1.68,0.0,0.0,0.0,0.0,5.500078201293945,True
1757786557.862296,86,320,240,True,person,0.902440071105957,287,125,384,427,335,276,341,276,21,36,41.677331968349414,6.9,-1.68,0.0,0.0,0.0,0.0,5.433559417724609,True
1757786557.9323285,87,320,240,True,person,0.9018414616584778,283,123,382,428,333,275,339,276,19,36,40.70626487409524,6.9,-1.68,0.0,0.0,0.0,0.0,6.536722183227539,True
1757786557.9443598,88,320,240,True,person,0.9060742855072021,285,124,384,427,335,275,338,275,18,35,39.35733730830886,6.9,-1.68,0.0,0.0,0.0,0.0,5.452156066894531,True
1757786557.9662848,89,320,240,True,person,0.8997525572776794,283,123,382,429,332,276,337,275,17,35,38.91015291668744,6.9,-1.68,0.0,0.0,0.0,0.0,5.42140007019043,True
1757786558.137043,90,320,240,True,person,0.8940155506134033,280,120,381,433,330,277,336,275,16,35,38.48376280978771,6.9,-1.68,0.0,0.0,0.0,0.0,7.236719131469727,True
1757786558.1491396,91,320,240,True,person,0.8951128125190735,281,121,381,433,331,277,334,276,14,36,38.62641583165593,6.9,-1.68,0.0,0.0,0.0,0.0,5.491495132446289,True
1757786558.160781,92,320,240,True,person,0.8973743915557861,280,121,381,432,330,276,333,276,13,36,38.27531841800928,6.9,-1.68,0.0,0.0,0.0,0.0,5.436897277832031,True
1757786558.172443,93,320,240,True,person,0.8944246172904968,279,118,380,434,330,276,332,276,12,36,37.94733192202055,6.9,-1.68,0.0,0.0,0.0,0.0,5.397796630859375,True
1757786558.202155,94,320,240,True,person,0.9071657657623291,279,118,382,436,330,277,331,276,11,36,37.64306044943742,6.9,-1.68,0.0,0.0,0.0,0.0,5.429267883300781,True
1757786558.2341163,95,320,240,True,person,0.9108166694641113,279,118,382,438,330,278,331,276,11,36,37.64306044943742,6.9,-1.68,0.0,0.0,0.0,0.0,5.340337753295898,True
1757786558.2708898,96,320,240,True,person,0.918972909450531,279,118,383,440,331,279,330,276,10,36,37.36308338453881,6.9,-1.68,0.0,0.0,0.0,0.0,5.893945693969727,True
1757786558.3410199,97,320,240,True,person,0.9096828103065491,281,117,387,445,334,281,331,277,11,37,38.600518131237564,6.9,-1.68,0.0,0.0,0.0,0.0,7.211446762084961,True
1757786558.3535843,98,320,240,True,person,0.9173299074172974,280,117,386,443,333,280,331,278,11,38,39.56008088970496,6.9,-1.68,0.0,0.0,0.0,0.0,5.871057510375977,True
